volcano_number,volcano_name,eruption_number,eruption_category,vei,start_year,start_month,start_day,latitude,longitude,date
357120,Villarrica,12184,Confirmed Eruption,1.0,2009.0,11.0,22.0,-39.42,-71.93,2009-11-22
357120,Villarrica,12183,Confirmed Eruption,1.0,2009.0,1.0,29.0,-39.42,-71.93,2009-01-29
357120,Villarrica,12182,Confirmed Eruption,1.0,2008.0,10.0,26.0,-39.42,-71.93,2008-10-26
357120,Villarrica,12181,Confirmed Eruption,1.0,2004.0,8.0,5.0,-39.42,-71.93,2004-08-05
357120,Villarrica,12180,Confirmed Eruption,1.0,2003.0,5.0,23.0,-39.42,-71.93,2003-05-23
357120,Villarrica,12179,Confirmed Eruption,1.0,1998.0,2.0,24.0,-39.42,-71.93,1998-02-24
357120,Villarrica,12178,Confirmed Eruption,1.0,1996.0,9.0,14.0,-39.42,-71.93,1996-09-14
357120,Villarrica,12174,Confirmed Eruption,1.0,1996.0,1.0,16.0,-39.42,-71.93,1996-01-16
357120,Villarrica,12173,Confirmed Eruption,1.0,1995.0,4.0,15.0,-39.42,-71.93,1995-04-15
357120,Villarrica,12172,Confirmed Eruption,1.0,1994.0,9.0,26.0,-39.42,-71.93,1994-09-26
357120,Villarrica,12171,Confirmed Eruption,1.0,1992.0,9.0,11.0,-39.42,-71.93,1992-09-11
357120,Villarrica,12170,Confirmed Eruption,2.0,1991.0,8.0,30.0,-39.42,-71.93,1991-08-30
357120,Villarrica,12169,Confirmed Eruption,2.0,1984.0,8.0,11.0,-39.42,-71.93,1984-08-11
357120,Villarrica,12168,Confirmed Eruption,1.0,1983.0,10.0,14.0,-39.42,-71.93,1983-10-14
357120,Villarrica,12167,Confirmed Eruption,2.0,1980.0,6.0,20.0,-39.42,-71.93,1980-06-20
357120,Villarrica,12166,Confirmed Eruption,1.0,1977.0,1.0,26.0,-39.42,-71.93,1977-01-26
357120,Villarrica,12165,Confirmed Eruption,2.0,1971.0,10.0,29.0,-39.42,-71.93,1971-10-29
357120,Villarrica,12164,Confirmed Eruption,2.0,1964.0,3.0,2.0,-39.42,-71.93,1964-03-02
357120,Villarrica,12163,Confirmed Eruption,3.0,1963.0,2.0,25.0,-39.42,-71.93,1963-02-25
357120,Villarrica,12162,Confirmed Eruption,1.0,1961.0,7.0,2.0,-39.42,-71.93,1961-07-02
357120,Villarrica,12161,Uncertain Eruption,1.0,1960.0,7.0,2.0,-39.42,-71.93,1960-07-02
357120,Villarrica,12160,Confirmed Eruption,1.0,1958.0,11.0,6.0,-39.42,-71.93,1958-11-06
357120,Villarrica,12159,Confirmed Eruption,1.0,1956.0,10.0,3.0,-39.42,-71.93,1956-10-03
357120,Villarrica,12158,Uncertain Eruption,,1950.0,7.0,2.0,-39.42,-71.93,1950-07-02
357120,Villarrica,12157,Confirmed Eruption,3.0,1948.0,10.0,9.0,-39.42,-71.93,1948-10-09
357120,Villarrica,12156,Confirmed Eruption,2.0,1948.0,4.0,10.0,-39.42,-71.93,1948-04-10
357120,Villarrica,12155,Confirmed Eruption,1.0,1947.0,1.0,1.0,-39.42,-71.93,1947-01-01
357120,Villarrica,12154,Confirmed Eruption,2.0,1938.0,12.0,1.0,-39.42,-71.93,1938-12-01
357120,Villarrica,12153,Uncertain Eruption,1.0,1938.0,2.0,11.0,-39.42,-71.93,1938-02-11
357120,Villarrica,12152,Confirmed Eruption,1.0,1935.0,12.0,1.0,-39.42,-71.93,1935-12-01
357120,Villarrica,12151,Confirmed Eruption,2.0,1933.0,1.0,5.0,-39.42,-71.93,1933-01-05
357120,Villarrica,12150,Confirmed Eruption,1.0,1929.0,12.0,27.0,-39.42,-71.93,1929-12-27
